,C 1 Comdty,CL1 Comdty,GC1 Comdty,HG1 Comdty,NG1 Comdty,S 1 Comdty,SI1 Comdty
2023-03-29,6937.59266373465,1487.4701129707498,-0.0,220.33634784468583,-0.0,-10142.51288185215,0.0
2023-03-30,-2134.6438965336,-9054.1659050415,0.0,1101.6817392231,-0.0,2935.9905710625,0.0
2023-03-31,23480.78373598635,-8407.332666459,-0.0,661.0006229292,0.0,-33096.19936450995,0.0
2023-04-03,3095.2336499734497,-26580.44419265745,0.0,19279.43043640875,7514.58126976785,-4804.348207193099,-0.0
2023-04-04,11953.2444092451,1875.3863341257002,0.0,32828.024712037055,5635.5769709405995,-0.0,0.0
2023-04-05,2988.4253140124997,-646.7096587653,-0.0,-6830.25275735505,30683.758403202297,-0.0,-0.0
2023-04-06,27643.9906128591,582.0609372556501,-0.0,-12779.670973347449,-90176.1239776482,-0.0,0.0
2023-04-07,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-04-10,-28813.4506352844,-6208.491815231399,-0.0,8042.1742456407,100819.34768043089,4270.47733735605,0.0
2023-04-11,7314.1836228027,11576.250363816898,0.0,-9474.342261987149,8766.899798297849,-6879.54398151015,0.0
2023-04-12,0.0,11188.3621540869,0.0,-13550.6853924471,-58238.00484070185,-724.17174960465,0.0
2023-04-13,5984.2558195488,-7113.8062464201,0.0,-8480.65518054495,-53853.12699337575,-724.15329913395,0.0
2023-04-14,-27260.915254758896,2328.0954532434002,-0.0,3193.9316108379003,67001.60201025555,4344.80909198085,-0.0
2023-04-17,-14627.621832105151,10411.62757911405,-0.0,-10022.2094424483,100814.21025793965,-13215.292627563,-0.0
2023-04-18,-4432.895029993951,-194.01784082223776,0.0,5947.62399803025,56985.57462907395,-3982.9446228267,0.0
2023-04-19,17731.128354219,10994.06419901325,-0.0,-3414.28974801165,-90172.67775635025,8870.877914393699,0.0
2023-04-20,23272.40243619135,12093.6246817527,0.0,-10683.5588596665,16907.59246814685,7422.66587478735,0.0
2023-04-21,23820.1331236083,-3229.3818155565,-0.0,-10130.149178922149,-10016.633660854499,14117.391491330249,-0.0
2023-04-24,20721.672260304753,-5749.32510660555,0.0,770.9097229843501,25046.05147604235,14572.47119790645,0.0
2023-04-25,-664.93425449925,10918.3705010532,0.0,-0.0,21291.31359767565,20095.766051535,-0.0
2023-04-26,17952.53875223175,17895.1067786295,-0.0,-0.0,-118976.3230071132,2987.0943048324,-0.0
2023-04-27,51863.55043609125,-2971.7884428012,0.0,0.0,28756.260365478298,11948.52943571355,0.0
2023-04-28,-9308.7237974535,-13049.861260950001,0.0,0.0,31631.4834326595,-16836.3497181474,0.0
2023-05-01,1329.85156778235,7235.7509947752005,-0.0,-17181.80600111325,-6901.5904083040505,-8961.5112390729,0.0
2023-05-02,7979.21105398965,25842.297043913848,0.0,31500.3789525321,-0.0,18194.815208822398,0.0
2023-05-03,-15072.0351024276,19769.6090807478,0.0,7709.9811767307,-0.0,-7332.3323702568005,0.0
2023-05-04,-886.2966523998,258.34066908157246,0.0,-7927.639768174499,-0.0,-271.4779195205064,0.0
2023-05-05,-13295.12743463805,-17955.59169226995,-0.0,-8808.93762019965,0.0,-20361.881803009048,-0.0
2023-05-08,0.0,-23449.195782002702,0.0,-4184.8851787695,-103513.3056538605,-2986.8659802576,-0.0
2023-05-09,-0.0,-7098.84597865815,0.0,-0.0,-33321.566264753696,-21158.817596423552,0.0
2023-05-10,0.0,14824.8694520082,-0.0,-0.0,87218.57256775786,-11108.3261353614,-0.0
2023-05-11,-0.0,21797.51782115835,-0.0,-0.0,1148.21358763635,1626.4597306967999,-0.0
2023-05-12,0.0,10712.3940706698,-0.0,0.0,-87322.143021795,-16817.90386006845,-0.0
2023-05-15,-24345.2049347241,-6902.6872772088,0.0,12097.7812741131,1148.5945768563,11660.162416579351,0.0
2023-05-16,24897.234455682297,1612.6950998592001,-0.0,-36951.33704757075,0.0,-39859.451306238145,-0.0
2023-05-17,43663.86639803655,-12695.06669295375,-0.0,38451.6895629312,0.0,-29254.6050747075,0.0
2023-05-18,13812.2086389084,6248.3956002945,-0.0,-28552.8033389628,0.0,-4061.5309432953,-0.0
